date,avg_cpu_usage,avg_memory_usage,total_cpu_capacity,total_memory_capacity,avg_scheduling_class,avg_priority,sin_time_of_day,cos_time_of_day
2019-05-23 02:45:00,0.6067134781316958,0.5370362782030065,7070.0869140625,4374.97607421875,1.1579092920353984,152.33434734513276,0.681607313606659,0.7317181629821099
2019-05-23 02:50:00,0.6228863922851193,0.5381783758152212,7071.0458984375,4375.47607421875,1.0732544830217474,160.5929034719573,0.6974946684853123,0.7165899716257299
2019-05-23 02:55:00,0.6460290038149659,0.5490674418525086,7099.9265239228525,4395.8201246769895,1.0945157526254372,156.59937767405685,0.7128768340144149,0.7012892552474937
2019-05-23 03:00:00,0.6394502526945898,0.5525997426501071,7072.4697265625,4376.309814453125,1.0526315789473681,161.36808149405775,0.7282257842674641,0.6853372944237288
2019-05-23 03:05:00,0.6262846612295758,0.5742972934693537,7076.98291015625,4379.8115234375,1.1865350544166033,153.58997722095668,0.7424779144866528,0.6698705445827207
2019-05-23 03:10:00,0.5748239065040912,0.5209074569130842,7077.98291015625,4380.3115234375,1.0861490843435646,153.0304359040495,0.7568607584803887,0.6535761564442898
2019-05-23 03:15:00,0.5874061655492596,0.5363183295673478,7099.9265239228525,4395.8201246769895,0.9999999999999998,151.21637971149372,0.7711988643523031,0.636594306934737
2019-05-23 03:20:00,0.5879246056994293,0.5318287700586922,7075.5263671875,4378.727294921875,1.0586350528676707,155.8689522588914,0.7851853531833366,0.619260818352299
2019-05-23 03:25:00,0.5913960471292243,0.5485235601543641,7099.9265239228525,4395.8201246769895,1.1617780465678862,165.65527668581794,0.798185061957072,0.6024123229720532
2019-05-23 03:30:00,0.5777252427323982,0.5450298832199459,7076.4853515625,4379.227294921875,1.0264900662251655,162.15127222028585,0.8112335269675041,0.5847222970982583
2019-05-23 03:35:00,0.6080967120758743,0.5397717727209062,7077.390625,4379.894287109375,1.0865239674404585,155.20892372625872,0.8237989633444902,0.5668820582736266
2019-05-23 03:40:00,0.6112651770628361,0.5612664417465607,7079.0693359375,4381.228271484375,1.0489579887528941,153.49222626529937,0.8361333845844564,0.5485261736538573
