date,cpu_utilization,memory_utilization
1970-01-01 00:00:00,0.0455611111123321,0.4245619773864746
1970-01-01 00:01:00,0.0459544444445054,0.4247503280639648
1970-01-01 00:02:00,0.0444466666653234,0.4244445164998372
1970-01-01 00:03:00,0.0432666666672771,0.424524466196696
1970-01-01 00:04:00,0.0433322222228938,0.4245274861653645
1970-01-01 00:05:00,0.0433322222213674,0.4245382944742839
1970-01-01 00:06:00,0.046872222223138,0.4245572090148926
1970-01-01 00:07:00,0.0435288888882173,0.4245602289835612
1970-01-01 00:08:00,0.0454299999995726,0.4245716730753581
1970-01-01 00:09:00,0.0443155555556166,0.4245198567708333
1970-01-01 00:10:00,0.044905555556166,0.4245389302571614
1970-01-01 00:11:00,0.0436599999994505,0.4245618184407552
1970-01-01 00:12:00,0.0447744444449328,0.4262669881184895
1970-01-01 00:13:00,0.0426766666667277,0.4262604713439941
1970-01-01 00:14:00,0.0413000000003052,0.4263035456339518
1970-01-01 00:15:00,0.0414311111100121,0.426279862721761
1970-01-01 00:16:00,0.0452988888898657,0.4262032508850097
1970-01-01 00:17:00,0.0426111111111111,0.4261790911356608
1970-01-01 00:18:00,0.0458233333332722,0.4261895815531413
1970-01-01 00:19:00,0.0437911111106837,0.426206111907959
1970-01-01 00:20:00,0.0432666666672771,0.4261856079101562
1970-01-01 00:21:00,0.0440533333331501,0.4261841773986816
1970-01-01 00:22:00,0.0410377777778388,0.4261574745178222
1970-01-01 00:23:00,0.0409066666666056,0.4261657396952311
1970-01-01 00:24:00,0.0405788888885225,0.4262126286824544
1970-01-01 00:25:00,0.0433322222228938,0.4262240727742513
1970-01-01 00:26:00,0.0411033333334554,0.4261571566263835
1970-01-01 00:27:00,0.0427422222208179,0.4261962572733561
1970-01-01 00:28:00,0.0451677777786325,0.4261619249979655
1970-01-01 00:29:00,0.041496666667155,0.4261520703633626
1970-01-01 00:30:00,0.0430044444432844,0.4262860616048177
1970-01-01 00:31:00,0.0441188888887667,0.4262701670328776
1970-01-01 00:32:00,0.0420211111120879,0.4245127042134602
1970-01-01 00:33:00,0.0462166666669719,0.4245832761128743
1970-01-01 00:34:00,0.0430044444432844,0.4245788256327311
1970-01-01 00:35:00,0.0439877777775335,0.4245951970418294
1970-01-01 00:36:00,0.0442499999999999,0.4245777130126953
1970-01-01 00:37:00,0.0447088888893162,0.424537976582845
1970-01-01 00:38:00,0.0437911111106837,0.4244674046834309
1970-01-01 00:39:00,0.0419555555564713,0.4244542121887207
1970-01-01 00:40:00,0.0447088888893162,0.4244858423868815
1970-01-01 00:41:00,0.0420866666661782,0.424532413482666
1970-01-01 00:42:00,0.0416277777783883,0.4245150883992513
1970-01-01 00:43:00,0.0433322222213674,0.4245864550272624
1970-01-01 00:44:00,0.0412344444446886,0.4245184262593587
1970-01-01 00:45:00,0.042283333333028,0.4245216051737467
1970-01-01 00:46:00,0.0440533333331501,0.4244704246520996
1970-01-01 00:47:00,0.0433322222228938,0.4243861834208171
1970-01-01 00:48:00,0.0434633333326006,0.4244626363118489
1970-01-01 00:49:00,0.0432666666672771,0.424530824025472
1970-01-01 00:50:00,0.0448399999990231,0.424496332804362
1970-01-01 00:51:00,0.0443155555556165,0.4246068000793457
1970-01-01 00:52:00,0.043856666669353,0.4245196978251139
1970-01-01 00:53:00,0.0416933333324785,0.4245580037434895
1970-01-01 00:54:00,0.0407755555553723,0.4246033032735188
1970-01-01 00:55:00,0.0406444444441391,0.4245462417602539
1970-01-01 00:56:00,0.0407755555568987,0.4245460828145345
1970-01-01 00:57:00,0.0409066666666056,0.4245451291402181
1970-01-01 00:58:00,0.0420866666661782,0.4245203336079915
1970-01-01 00:59:00,0.0403822222216727,0.4246447881062825
1970-01-01 01:00:00,0.0432011111116605,0.4245575269063313
1970-01-01 01:01:00,0.0428733333335775,0.4246118863423665
1970-01-01 01:02:00,0.042283333333028,0.4244743982950846
1970-01-01 01:03:00,0.0427422222223443,0.424542744954427
1970-01-01 01:04:00,0.0420211111105616,0.4245564142862956
1970-01-01 01:05:00,0.0428077777779609,0.424601395924886
1970-01-01 01:06:00,0.0432011111116605,0.4247638384501139
1970-01-01 01:07:00,0.0426766666667277,0.4245314598083496
1970-01-01 01:08:00,0.0424799999998778,0.4245702425638835
1970-01-01 01:09:00,0.0416277777768619,0.4245572090148926
1970-01-01 01:10:00,0.0412344444446886,0.4246579806009928
1970-01-01 01:11:00,0.0399233333338828,0.4245993296305339
1970-01-01 01:12:00,0.041168888889072,0.4263520240783691
1970-01-01 01:13:00,0.0418244444437118,0.4263110160827636
1970-01-01 01:14:00,0.0404477777788156,0.4263310432434082
1970-01-01 01:15:00,0.0410377777778388,0.4264569282531738
1970-01-01 01:16:00,0.0435944444438339,0.4264291127522786
1970-01-01 01:17:00,0.0422177777774114,0.4261376063028971
1970-01-01 01:18:00,0.0418900000008547,0.4262763659159342
1970-01-01 01:19:00,0.042283333333028,0.4262107213338216
1970-01-01 01:20:00,0.0432666666657508,0.4262139002482096
1970-01-01 01:21:00,0.0428733333335775,0.4261833826700846
1970-01-01 01:22:00,0.0399233333338828,0.4261938730875651
1970-01-01 01:23:00,0.0407755555553724,0.4262646039326985
1970-01-01 01:24:00,0.0397266666670329,0.4262007077534993
1970-01-01 01:25:00,0.0416933333324785,0.4262173970540364
1970-01-01 01:26:00,0.0405788888900489,0.4262247085571289
1970-01-01 01:27:00,0.0410377777778388,0.4262083371480306
1970-01-01 01:28:00,0.0414966666656287,0.4262272516886393
1970-01-01 01:29:00,0.0407755555553723,0.4262099266052246
