timestamp,cpu_utilization,memory_utilization
0,0.1154166666664726,0.4330711364746094
60000,0.0968333333332945,0.4329425493876139
120000,0.0912916666668024,0.4329891204833984
180000,0.0909583333331587,0.4329503377278645
240000,0.0897916666668606,0.4329606691996256
300000,0.0905833333332945,0.4331140518188476
360000,0.0869583333333139,0.4331787427266438
420000,0.0857083333331199,0.4328622817993164
480000,0.0830833333335855,0.432919184366862
540000,0.0825416666664144,0.4329179128011067
600000,0.0818333333333915,0.4329374631245931
660000,0.0788750000002134,0.4329682985941569
720000,0.0779166666664726,0.4330080350240071
780000,0.0758750000003298,0.4329977035522461
840000,0.0758333333331393,0.4329587618509928
900000,0.0768333333331005,0.4329401652018229
960000,0.0760416666666666,0.4329492251078288
1020000,0.0759999999999612,0.4329730669657389
1080000,0.0747500000002522,0.4329768816630046
1140000,0.0716666666664726,0.4329630533854167
1200000,0.0721250000002328,0.4329918225606282
1260000,0.0729583333333721,0.4328311284383138
1320000,0.0714166666667248,0.4327162106831868
1380000,0.0698750000000776,0.4328238169352214
1440000,0.0697499999999611,0.4328126907348633
1500000,0.0701249999998253,0.4328112602233886
1560000,0.069291666666686,0.4328020413716634
1620000,0.0690833333331587,0.4327770868937174
1680000,0.0680416666669771,0.4327818552652995
1740000,0.0685416666664726,0.4327683448791504
1800000,0.0695833333331393,0.4327836036682129
1860000,0.0666666666666666,0.4327799479166667
1920000,0.0673750000001746,0.4327934583028157
1980000,0.0660416666665696,0.4328314463297526
2040000,0.0671666666666472,0.4327247937520345
2100000,0.0648750000002716,0.4327664375305176
2160000,0.064291666666395,0.4327578544616699
2220000,0.0652916666668412,0.4327201843261719
2280000,0.0659166666664532,0.4328381220499674
2340000,0.0635416666666666,0.4328295389811198
2400000,0.0644583333337019,0.4328320821126302
2460000,0.0625833333329258,0.4328336715698242
2520000,0.0647083333334497,0.4328517913818359
2580000,0.0625833333334109,0.4328419367472331
2640000,0.0613749999999223,0.4328395525614421
2700000,0.0617083333335661,0.4328495661417643
2760000,0.0624583333332945,0.4328378041585286
2820000,0.0615000000000388,0.4328366915384928
2880000,0.060541666666783,0.4328118960062663
2940000,0.0606666666664144,0.4328296979268392
3000000,0.0610416666667636,0.4328223864237467
3060000,0.0604583333333721,0.4328072865804036
3120000,0.0596666666664532,0.432810624440511
3180000,0.0598333333332751,0.4332575798034668
3240000,0.059916666666686,0.4342927932739258
3300000,0.059291666666589,0.4343199729919433
3360000,0.0585833333335661,0.4342975616455078
3420000,0.0594166666667054,0.4342896143595378
3480000,0.0584166666667442,0.4338095982869466
3540000,0.0572499999999611,0.4328409830729167
3600000,0.0568333333333915,0.4328772226969401
3660000,0.0567083333332751,0.4328823089599609
3720000,0.0566249999998641,0.4328943888346354
3780000,0.0556249999999029,0.4329083760579427
3840000,0.055000000000291,0.432891050974528
3900000,0.0559583333330616,0.4330778121948242
3960000,0.0560416666669577,0.4329444567362467
4020000,0.0547500000000582,0.4328883488972981
4080000,0.0542499999995925,0.4327929814656575
4140000,0.053125,0.4328427314758301
4200000,0.0537083333333915,0.4328686396280924
4260000,0.053666666666686,0.4328603744506836
4320000,0.0533750000002328,0.4328177769978841
4380000,0.0526666666667248,0.4327915509541829
4440000,0.0524583333331975,0.4328122138977051
4500000,0.0526666666667248,0.432807445526123
4560000,0.0519999999999223,0.4328173001607259
4620000,0.0525833333333139,0.432855765024821
4680000,0.0526250000000194,0.4329047203063965
4740000,0.051166666666783,0.4328840573628743
4800000,0.0512916666664144,0.4329001108805339
4860000,0.0513333333336049,0.4323018391927083
4920000,0.0515833333333527,0.4325935045878092
4980000,0.0501249999996313,0.4328627586364746
5040000,0.050625000000097,0.4328759511311849
5100000,0.0508749999998447,0.4323000907897949
5160000,0.0503333333336437,0.4322969118754069
5220000,0.051166666666783,0.432684580485026
5280000,0.0506666666663174,0.4329018592834472
5340000,0.0489166666666278,0.4328924814860026
5400000,0.0501250000001164,0.4328878720601399
5460000,0.0476666666669189,0.4328856468200683
5520000,0.0488333333332169,0.4327344894409179
5580000,0.0475416666668024,0.4327077865600586
5640000,0.0479999999995925,0.4327292442321777
5700000,0.0477083333336243,0.4327278137207031
5760000,0.0465833333330616,0.432742436726888
5820000,0.047416666666686,0.4327602386474609
5880000,0.0471250000002328,0.4327640533447265
5940000,0.0462916666666084,0.4327727953592936
6000000,0.0475833333335079,0.4327829678853352
6060000,0.0467083333331781,0.4327904383341471
6120000,0.0469166666667054,0.4328420956929524
6180000,0.0463333333333139,0.4328594207763672
6240000,0.0457083333332169,0.432891845703125
6300000,0.0462083333331975,0.432929515838623
6360000,0.0454166666667636,0.432470162709554
6420000,0.0463333333333139,0.4326553344726562
6480000,0.0457916666666278,0.4328977266947428
